participant_id,session_number,typed_text,expected_text
1,1,"Tom worked at a small blue bike shop near the train station. Each morning, he opened the rusty orange shutters and turned on the pink lights. The bikes always needed something, oil, air, or a new chain, He liked fixing them, even if he sometimes forgt where he left his wrench. His hands were always a bit greasy by 9 a.m. A boy came in with a broken green pedal, holding","Tom worked at a small blue bike shop near the train station. Each morning, he opened the rusty orange shutters and turned on the pink lights. The bikes always needed something, oil, air, or a new chain. He liked fixing them, even if he sometimes forgt where he left his wrench. His hands were always a bit greasy by 9 a.m.
A boy came in with a broken green pedal, holding the bike by its red handlebars. Tom smiled and said, “We’ll get you riding again in no time.” He grabbed a black toolbox and got to work. The boy asked a lot of questions, which Tom liked. But then he droped a screw and spent five minutes looking for it under the bench.
Later, a woman in a white raincoat rolled in with a squeaky wheel. She said it had been acting funny since yesterday. Tom listened, tightened a few things, and gave her a purple receipt. “Try that now,” he said. She rode a few steps and smiled, though he notcied the bell was still loose.
By lunch, Tom sat on a crate near the back, eating a sandwich and sipping from a pink cup. A blue towel was draped over his shoulder, and his notes sat next to a jar of loose green bolts. He checked the list of orders and wiped his hands. Then he realized he had put mustard on the top of the bread insted of the inside.
The afternoon got busier when a group of teens came in with muddy bikes. One had a red seat torn at the side, another needed a orange tire pumped, and the third wanted a new yellow bell. Tom took a breath and got started. He liked the work, even if he accidently grabbed the wrong size wrench twice.
Around 4 p.m., his friend Liza stopped by wearing a purple hoodie and carrying a black smoothie. “Want to take a break?” she asked. Tom shook his head, pointing at a pink bike frame he was almost done painting. She nodded and sat nearby, chatting while he worked. He listened but occasionaly forgot to respond.
As the sun set, the shop glowed under the soft white lights inside. Tom locked the blue tool cabinet and swept the floor with a red broom. A few screws rolled into the corner and he made a note to grab them tomorrow. He felt tired but proud, even though his back was a little sore from bending to much.
Tom closed the shop and walked home under the orange stars. He passed the quiet yellow street and the small park with the green bench. Tomorrow would bring more bikes and more small problems to solve. But for now, he was happy and ready to rest, even if he had forgot his water bottle on the counter again."
1,2,"Octopuses are some of the strangest creatures in the yellow sea. They have three black hearts and pink blood, which helps them survive in deep waters. Instead of bones, their bodies are squishy and soft so they can squeeze through tiny cracks. One was even seen escaping an aquarium tank using a tiny hole in a drain and it was wildly smart.
Each of their eight arms has its own mind. Scient","Octopuses are some of the strangest creatures in the yellow sea. They have three black hearts and pink blood, which helps them survive in deep waters. Instead of bones, their bodies are squishy and soft so they can squeeze through tiny cracks. One was even seen escaping an aquarium tank using a tiny hole in a drain and it was wildy smart.
Each of their eight arms has its own mind. Scientists learned that two thirds of an octopus’s neurons are in its arms not its head. That means each arm can taste feel and even make choices without asking the brain first. One purple arm might be exploring a cave while a green one is opening a orange jar on the other side.
Octopuses use color to talk. With special cells in their skin called chromatophores they can change color in an instant. A calm octopus might be red while an angry one turns black and a sneaky one blends into pink seaweed. But oddly they are colorblind themselves and can’t actualy see the colors they become.
ome octopuses collect stuff. One species the veined octopus gathers blue coconut shells and hides inside them like armor. Others use white rocks to build little walls around their dens or decorate with shiny yellow bottle caps. It’s not clear if they do it for protection or just because they like the look but it sure is cute and weird.
When threatened they can vanish in a puff of ink. The ink is purple and sticky and it confuses predators long enough for the octopus to zoom away. They swim by shooting water from a red tube called a siphon kind of like a jetpack. It is not the most graceful method but it works unless they bump into a orange sponge.
One amazing skill is mimicry. The mimic octopus can pretend to be other sea creatures like a black lionfish a yellow flatfish or even a pink sea snake. It changes its shape motion and behavior to scare off threats. Scientists were so shocked when they first saw it that they though it was a hoax.
Octopuses are escape artists. They can unscrew lids walk across land for short times and solve puzzles. In labs some have turned off lights escaped tanks or even splashed water at researchers. One green octopus kept stealing crabs from a blue bucket across the room while the scientist wasn’t looking. Eventually they had to move it to a purple tank.
adly octopuses don’t live long. Most only survive a year or two though some can reach five. After laying white eggs the mother stays to protect them refusing to eat until she passes away. It’s a short but clever life. And while they may look like aliens from a sci fi movie they’re real smart and still full of secrets we havn’t figured out yet."
1,3,"Frogs are amazing creatires found almost ecerywhere on Earth from blue rainforests to black deserts and even orange mountain lakes. They can live in water on land or both depending on the species. Most frogs begin life as tadpoles swimming with tails and gills before slowly growing legs. Some never grow out of the water and stay fully aquatic their whole lifes.
Frogs do not drink water like we do. Instead they ","Frogs are amazing creatures found almost everywhere on Earth from blue rainforests to black deserts and even orange mountain lakes. They can live in water on land or both depending on the species. Most frogs begin life as tadpoles swimming with tails and gills before slowly growing legs. Some never grow out of the water and stay fully aquatic their whole lifes.
Frogs do not drink water like we do. Instead they absorb it through their green belly skin which is super thin and sensitive. This is also why they must stay damp or they can dry out quickly. A red frog sitting too long in the sun can get in real trouble unless it finds a shady white spot to rest.
When it comes to jumping frogs are champions. Some species can leap over twenty times their body length in a single hop. This helps them catch prey or escape predators in a flash. A small yellow tree frog can bounce from leaf to leaf faster than your eye can follow while a orange bullfrog might just sit and wait near a blue pond edge.
Frogs make a lot of different sounds. Not all of them ribbit though that is just one type of call. Some growl others croak and a few even whistle. A pink frog from India sounds like a chicken and lives almost all of its life underground. It only comes out when the black monsoon rains arrive and the green soil turns to mud.
Many frogs change colors. A white frog might turn blue during the day and back again at night to stay camouflaged. Some even go purple or yellow when frightened to scare off attackers. Their skin contains special cells called chromatophores which shift the colors based on light mood or even temperature though this ability is not always perfect.
Frogs eat with speed and stickiness. Their tongues are super fast and coated with a glue like slime that grabs insects in a blink. A orange frog can snatch a fly before the fly even moves. They do not chew but swallow whole and if they miss they just try again with a quick flick and a goofy little blink from their red eyes while sitting on a blue rock.
Some frogs are poisonous but not all. The yellow poison dart frog for example gets its toxins from the bugs it eats in the wild. In captivity it is not toxic at all because it eats different food. A black frog with bright colors is often a warning to stay away while a plain white one might be totally harmless but still grumpy looking.
Sadly frog numbers are dropping fast around the world. Pollution habitat loss and a deadly fungus are big threats. Scientists are working hard to protect these amazing creatures and discover new ones too. A tiny pink frog was only found recently even though it had been living under our noses the whole time. Frogs may be small and sometimes slimy but they are incredible and full of secrets we still do not fully unerstand."
1,4,"Inside a locked toy store, when the lights tirned off and the white sign stopped glowing, a group of red mice came to life behind the purple shelves. They wore tiny bottle-cap hats and used old shoelaces as swings. Eery night, they held races across the model train tracks, using soda caps for cars and jellybeans as prizas. One mouse always cheated but no one really minded bec","Inside a locked toy store, when the lights turned off and the white sign stopped glowing, a group of red mice came to life behind the purple shelves. They wore tiny bottle-cap hats and used old shoelaces as swings. Every night, they held races across the model train tracks, using soda caps for cars and jellybeans as prizes. One mouse always cheated but no one really minded becuse he was so fast.
Their leader was a mouse with a torn pink ribbon around her tail. She carried a blue flashlight and rode a wind-up dinosaur with green teeth. She led the crew through stuffed animal caves and across rivers made of spilled glitter. Last night, they had found a treasure chest full of buttons and got stuck inside for a full hour before someone remembered how to unlatch it. It had been very shinny.
In the puzzle aisle, the mice built forts from blocks and bounced on yellow rubber balls. One mouse tried to juggle plastic orange beads but sneezed halfway through and launched them everywhere. Another got trapped in a purple bucket and had to be fished out using a yo-yo. The whole group laughed until their whiskers shook and one mouse fell over from the giggles.
Behind the dollhouse wall, they discovered a forgotten racecar track. The mice dragged it out using a blue kite string and raced two toy cars down the lanes. The cars zoomed past the red tents they had set up earlier and crashed into a stack of black building bricks. Everyone clapped and one mouse held up a sock like a trophy, even though it was way too big and smelld odd.
Near the plush bear mountain, a mouse with glitter on his ears tried to climb to the top. He slipped twice on a green ribbon but made it on the third try. From there, he could see the glowing lights of the candy display and a rolling yellow marble he’d lost three nights ago. He squeaked in joy and tumbled all the way down like a furry snowball, landing in a pile of white duck toys.
At midnight, the mice threw a dance party on a purple frisbee. One played music using a wind-up music box and another waved a broken pink straw like a flag. They wore thimbles as helmets and spun around under the flicker of the orange fairy lights. Someone stepped on a squeaky toy and startled the whole group, but they went right back to dancing after a few seconds of silnce.
Later, they built a raft out of popsicle sticks and sailed it across a puddle under the blue water fountain. The current took them past a stack of yellow game boxes and into a loop of toy racetracks. One of the mice shouted “Adventure!” and they all started throwing bits of red yarn into the air like streamers. Their raft tipped but they clung on like brave little pirates.
As the sky outside turned light and the white sun began to rise, the mice returned to their hidden hole behind the black shelf. They curled up in tissue beds and yawned as the first worker’s keys jingled outside. Another night of chaos and fun was over. One mouse whispered “tomorrow, we fly the paper airplane” before falling into a dream filled with marshmallows and rubber purple ducks."
1,5,"Space is really just everything beyond Earth's sky. It starts about 100 kilometers up where the white atmosphere fades into blackness and gravity starts to weaken. Out there things float forever unless something stops them. That  is why a purple satellite keeps orbiting and a pink wrench dropped during a spacewalk might still be spinning today. 
The moon is Earth's closest neighbor and it affects ","Space is really just everything beyond Earth’s sky. It starts about 100 kilometers up where the white atmosphere fades into blackness and gravity starts to weaken. Out there things float forever unless something stops them. That is why a purple satellite keeps orbiting and a pink wrench dropped during a spacewalk might still be spinning today.
The Moon is Earth’s closest neighbor and it affects us more than we notice. Its pull creates ocean tides and helps keep Earth’s tilt stable. Astronauts have walked on its dusty green surface which reflects blue sunlight during a full moon. Long ago people thought it was made of cheese which is not true but kind of hilarios to imagine.
The Sun is a giant star and it powers everything on Earth. Its core is millions of degrees hot and it takes light about eight minutes to reach us. Without it we would freeze in darkness and nothing could grow. It looks black in the sky but it is really closer to purple and only seems orange at sunrise or sunset because of our air.
Our solar system has eight planets each one different. Mercury is super hot Venus is covered in clouds Earth is just right and Mars is cold and dusty. Jupiter is the biggest and has a yellow storm the size of Earth Saturn has blue rings made of ice Uranus is white and tilted sideways and Neptune is dark and windy.
Between planets there is a lot of empty space but also cool stuff like comets and asteroids. A red asteroid can zip past Earth at thousands of kilometers per hour while a red comet might leave a trail of ice and dust glowing in the purple sunlight. Some even come from the edge of the solar system where it is colder than anything on Earth.
Beyond our solar system there are billions of stars and planets in the galaxy. Some are orange giants burning bright others are white and super hot. Many have planets we call exoplanets and some might even be like Earth. We cannot visit them yet because they are so far that even light takes years to travel but we keep looking anyawy.
red holes are one of the strangest things out there. They form when big stars collapse and their gravity is so strong not even light can escape. If a pink star gets too close it gets stretched and eaten. We only know red holes are there because of how they pull on other things like a blue star or a yellow cloud of gas.
Space is huge and full of mysteries. We have sent probes past Pluto taken pictures of white galaxies and even found water on the Moon and Mars. But most of the universe is still unknown. Scientists think there is invisible stuff called dark matter and dark energy but no one really knows what it is yet. Space is amazing strange and full of things we do not yet undertsand."
1,6,"In a quiet alley behind the bakery, three blue cats lived together beneath a rusted yellow dumpster and a pile of soft green boxes. The space was small but warm, filled with the smell of old bread and dry leaves. Each morning, sunlight peaked through a broken fence and woke them slowly. One always snored, and the others alwasy flicked their tails in annoyance.
They alley was their world. There was ","In a quiet alley behind the bakery, three blue cats lived together beneath a rusted purple dumpster and a pile of soft green boxes. The space was small but warm, filled with the smell of old bread and dry leaves. Each morning, sunlight peeked through a broken fence and woke them slowly. One always snored, and the others alwasy flicked their tails in annoyance.
The alley was their world. There was a tall orange gate they never climbed, a cold black puddle that never dried, and a pink bush where birds sometimes landed. The oldest cat guarded the area while the younger ones played. Sometimes they fought over scraps, but they always shared when it realy mattered.
One afternoon, a sudden gust of wind knocked over a white crate, spilling wrappers across the concrete. The noise scared a flock of pigeons near a yellow pipe and made the smallest cat hide under a bent red sign. The oldest one growled and hissed at the air, though there was nothing there to fight. Their fur stood up for a while befor they calmed down.
In the evening, rain began to fall. It hit the black cans loudly and splashed into the purple puddle until it overflowed. The cats squeezed together under the blue boxes, noses pressed into fur, tails twitching. The youngest one sneezed twice, and the others stared at it like it had broken some unwriten rule.
When the storm passed, the air was fresh and the alley sparkled. A stray leaf floated past the pink bush and got stuck near a orange wrapper. One cat pawed at it, slipping slightly on a slick green patch of cement. They ended up chasing it in circles for ten minutes, then got tired and flopped down with a sigh that sounded very smal.
The night came quietly. A soft breeze moved through the white shadows, and the stars reflected faintly in the yellow puddle. A blue rat appeared near the fence but ran away before any cat noticed. The alley felt calm, like it was holding its breath. A distant train rumbled, shaking a few cans without waking anyone.
While they slept, a moth flapped its wings near the black crate and landed on a piece of red cardboard. The youngest cat blinked awake and stared at it with glowing pink eyes. For a moment, nothing moved. Then it jumped too early and missed, landing in a bucket and making a loud clank that echoed. The other cats didn’t even open their eyes, used to the noice.
As the sun yellow, light touched the orange fence, the edge of the green wall, and the top of the purple dumpster. The cats stretched, yawned, and blinked at the sky. It was a new day, same as the one before, and the one before that. But for them, the alley was home, and it was everything they ever wanted—even if it was a bit smelly and full of brokn things."
2,1,"In a quiet alley behind the bakery, three green cats lived together beneath a rusted pink dumpster and a pile of soft white boxes. The space was small but warm, filled with the smell of old bread and dry leaves. Each morning, sunlight peeked through a broken fence and woke them slowly. One always snored, and the others alwasy flicked their tails in annoyance. 
The alley was their world. There was a tall orange gate they never climbed, a cold red puddle that never dried,","In a quiet alley behind the bakery, three green cats lived together beneath a rusted pink dumpster and a pile of soft white boxes. The space was small but warm, filled with the smell of old bread and dry leaves. Each morning, sunlight peeked through a broken fence and woke them slowly. One always snored, and the others alwasy flicked their tails in annoyance.
The alley was their world. There was a tall orange gate they never climbed, a cold red puddle that never dried, and a yellow bush where birds sometimes landed. The oldest cat guarded the area while the younger ones played. Sometimes they fought over scraps, but they always shared when it realy mattered.
One afternoon, a sudden gust of wind knocked over a black crate, spilling wrappers across the concrete. The noise scared a flock of pigeons near a purple pipe and made the smallest cat hide under a bent blue sign. The oldest one growled and hissed at the air, though there was nothing there to fight. Their fur stood up for a while befor they calmed down.
In the evening, rain began to fall. It hit the red cans loudly and splashed into the pink puddle until it overflowed. The cats squeezed together under the green boxes, noses pressed into fur, tails twitching. The youngest one sneezed twice, and the others stared at it like it had broken some unwriten rule.
When the storm passed, the air was fresh and the alley sparkled. A stray leaf floated past the yellow bush and got stuck near a orange wrapper. One cat pawed at it, slipping slightly on a slick white patch of cement. They ended up chasing it in circles for ten minutes, then got tired and flopped down with a sigh that sounded very smal.
The night came quietly. A soft breeze moved through the black shadows, and the stars reflected faintly in the purple puddle. A green rat appeared near the fence but ran away before any cat noticed. The alley felt calm, like it was holding its breath. A distant train rumbled, shaking a few cans without waking anyone.
While they slept, a moth flapped its wings near the red crate and landed on a piece of blue cardboard. The youngest cat blinked awake and stared at it with glowing yellow eyes. For a moment, nothing moved. Then it jumped too early and missed, landing in a bucket and making a loud clank that echoed. The other cats didn’t even open their eyes, used to the noice.
As the sun orange, light touched the orange fence, the edge of the white wall, and the top of the pink dumpster. The cats stretched, yawned, and blinked at the sky. It was a new day, same as the one before, and the one before that. But for them, the alley was home, and it was everything they ever wanted—even if it was a bit smelly and full of brokn things."
2,2,"Space is really just everything beyond Earth's sky. It starts about 100 kilometers up where the green athmosphere fades into blackness and gravity starts to weaken. Out there things float forever unless something stops them. That is why a orange satellite keeps orbiting and a white wrench dropped during a spacewalk might still be spinning today.
The Moon is Earth's closest neighbor and it affects us more than we notice. Its pull creates ocean tides and helps keep Earth's tilt stable. Astr","Space is really just everything beyond Earth’s sky. It starts about 100 kilometers up where the green atmosphere fades into blackness and gravity starts to weaken. Out there things float forever unless something stops them. That is why a orange satellite keeps orbiting and a white wrench dropped during a spacewalk might still be spinning today.
The Moon is Earth’s closest neighbor and it affects us more than we notice. Its pull creates ocean tides and helps keep Earth’s tilt stable. Astronauts have walked on its dusty red surface which reflects blue sunlight during a full moon. Long ago people thought it was made of cheese which is not true but kind of hilarios to imagine.
The Sun is a giant star and it powers everything on Earth. Its core is millions of degrees hot and it takes light about eight minutes to reach us. Without it we would freeze in darkness and nothing could grow. It looks black in the sky but it is really closer to orange and only seems purple at sunrise or sunset because of our air.
Our solar system has eight planets each one different. Mercury is super hot Venus is covered in clouds Earth is just right and Mars is cold and dusty. Jupiter is the biggest and has a yellow storm the size of Earth Saturn has blue rings made of ice Uranus is green and tilted sideways and Neptune is dark and windy.
Between planets there is a lot of empty space but also cool stuff like comets and asteroids. A pink asteroid can zip past Earth at thousands of kilometers per hour while a yellow comet might leave a trail of ice and dust glowing in the orange sunlight. Some even come from the edge of the solar system where it is colder than anything on Earth.
Beyond our solar system there are billions of stars and planets in the galaxy. Some are purple giants burning bright others are green and super hot. Many have planets we call exoplanets and some might even be like Earth. We cannot visit them yet because they are so far that even light takes years to travel but we keep looking anyawy.
pink holes are one of the strangest things out there. They form when big stars collapse and their gravity is so strong not even light can escape. If a white star gets too close it gets stretched and eaten. We only know pink holes are there because of how they pull on other things like a blue star or a yellow cloud of gas.
Space is huge and full of mysteries. We have sent probes past Pluto taken pictures of green galaxies and even found water on the Moon and Mars. But most of the universe is still unknown. Scientists think there is invisible stuff called dark matter and dark energy but no one really knows what it is yet. Space is amazing strange and full of things we do not yet undertsand."
2,3,"Tom worked at a small black bike shop near the train station. Each morning, he opened the rusty red shutters and turned on the pink lights. The bikes always needed something, oil, air, or a new chain. He liked fixing them, even if he sometimes forgt where he left his wrench. His hands were always a bit greasy by 9 a.m. A boy came in with a broken white pedal, holding the bike by its blue handlebars. Tom smiled and said, "" We'll get you riding again in no time.""  He grabbed a purple toolbox and got to work. ","Tom worked at a small black bike shop near the train station. Each morning, he opened the rusty red shutters and turned on the pink lights. The bikes always needed something, oil, air, or a new chain. He liked fixing them, even if he sometimes forgt where he left his wrench. His hands were always a bit greasy by 9 a.m.
A boy came in with a broken white pedal, holding the bike by its blue handlebars. Tom smiled and said, “We’ll get you riding again in no time.” He grabbed a purple toolbox and got to work. The boy asked a lot of questions, which Tom liked. But then he droped a screw and spent five minutes looking for it under the bench.
Later, a woman in a green raincoat rolled in with a squeaky wheel. She said it had been acting funny since yesterday. Tom listened, tightened a few things, and gave her a orange receipt. “Try that now,” he said. She rode a few steps and smiled, though he notcied the bell was still loose.
By lunch, Tom sat on a crate near the back, eating a sandwich and sipping from a pink cup. A black towel was draped over his shoulder, and his notes sat next to a jar of loose white bolts. He checked the list of orders and wiped his hands. Then he realized he had put mustard on the top of the bread insted of the inside.
The afternoon got busier when a group of teens came in with muddy bikes. One had a blue seat torn at the side, another needed a red tire pumped, and the third wanted a new yellow bell. Tom took a breath and got started. He liked the work, even if he accidently grabbed the wrong size wrench twice.
Around 4 p.m., his friend Liza stopped by wearing a orange hoodie and carrying a purple smoothie. “Want to take a break?” she asked. Tom shook his head, pointing at a pink bike frame he was almost done painting. She nodded and sat nearby, chatting while he worked. He listened but occasionaly forgot to respond.
As the sun set, the shop glowed under the soft green lights inside. Tom locked the black tool cabinet and swept the floor with a blue broom. A few screws rolled into the corner and he made a note to grab them tomorrow. He felt tired but proud, even though his back was a little sore from bending to much.
Tom closed the shop and walked home under the red stars. He passed the quiet yellow street and the small park with the white bench. Tomorrow would bring more bikes and more small problems to solve. But for now, he was happy and ready to rest, even if he had forgot his water bottle on the counter again."
2,4,"Octopuses are some of the strangest creatures in the white sea. They have three black hearts and orange blood, which helps them survive in deep waters. Instead of bones, their bodies are squishy and soft so they can squeeze through tiny cracks. One was even seen escaping an aquarium tank using a tiny hole in a drain and it was wildly smart. 
Each of their eight arms has its own mind. Scientists learned that two thirds of an octopus's neurons are in its arms not its head. That means each arm can taste feel and even make choices without asking the brain first. One blue arm might be exploring a cave while a g","Octopuses are some of the strangest creatures in the white sea. They have three black hearts and orange blood, which helps them survive in deep waters. Instead of bones, their bodies are squishy and soft so they can squeeze through tiny cracks. One was even seen escaping an aquarium tank using a tiny hole in a drain and it was wildy smart.
Each of their eight arms has its own mind. Scientists learned that two thirds of an octopus’s neurons are in its arms not its head. That means each arm can taste feel and even make choices without asking the brain first. One blue arm might be exploring a cave while a green one is opening a pink jar on the other side.
Octopuses use color to talk. With special cells in their skin called chromatophores they can change color in an instant. A calm octopus might be yellow while an angry one turns black and a sneaky one blends into orange seaweed. But oddly they are colorblind themselves and can’t actualy see the colors they become.
ome octopuses collect stuff. One species the veined octopus gathers red coconut shells and hides inside them like armor. Others use purple rocks to build little walls around their dens or decorate with shiny white bottle caps. It’s not clear if they do it for protection or just because they like the look but it sure is cute and weird.
When threatened they can vanish in a puff of ink. The ink is blue and sticky and it confuses predators long enough for the octopus to zoom away. They swim by shooting water from a yellow tube called a siphon kind of like a jetpack. It is not the most graceful method but it works unless they bump into a pink sponge.
One amazing skill is mimicry. The mimic octopus can pretend to be other sea creatures like a black lionfish a white flatfish or even a orange sea snake. It changes its shape motion and behavior to scare off threats. Scientists were so shocked when they first saw it that they though it was a hoax.
Octopuses are escape artists. They can unscrew lids walk across land for short times and solve puzzles. In labs some have turned off lights escaped tanks or even splashed water at researchers. One green octopus kept stealing crabs from a red bucket across the room while the scientist wasn’t looking. Eventually they had to move it to a blue tank.
adly octopuses don’t live long. Most only survive a year or two though some can reach five. After laying purple eggs the mother stays to protect them refusing to eat until she passes away. It’s a short but clever life. And while they may look like aliens from a sci fi movie they’re real smart and still full of secrets we havn’t figured out yet."
